store_name,address,Latitude,Longitude,district,district_en
한양불족발,서울 서초구 방배동 876-20,37.4882772,126.9943639,서초구,seocho_gu
오니기리와 이규동,서울 성동구 성수동2가 289-211,37.5475625,127.0543807,성동구,seongdong_gu
미미롤집,서울 마포구 상암동 1597,37.5813283,126.888557,마포구,mapo_gu
"이불덮밥 상암DMC점,스키야키&모츠나베",서울 마포구 상암동 1596,37.5819653,126.8892157,마포구,mapo_gu
1992철판전문점,서울 마포구 상암동 1601,37.5800559,126.8889998,마포구,mapo_gu
쭝일아찌5단계빨강떡볶이,서울 용산구 신계동 36-14,37.5337646,126.9624758,용산구,yongsan_gu
미다래,서울 용산구 한강로3가 16-9,37.5328141,126.9597276,용산구,yongsan_gu
버팔로 스팟,서울 서초구 방배동 941-11,37.4852367,126.9905773,서초구,seocho_gu
동궁찜닭 송파점,서울 송파구 석촌동 240-22,37.4991287,127.1015559,송파구,songpa_gu
동궁찜닭 사당점,서울 동작구 사당동 39-16,37.4909939,126.9816632,동작구,dongjak_gu
닭갈비전,서울 서초구 서초동 1309-1,37.5020443,127.0240125,서초구,seocho_gu
토요커리,서울 서초구 반포동 720-24,37.5079166,127.0204449,서초구,seocho_gu
부다스밸리,서울 용산구 이태원동 457-1,37.534417,126.9884093,용산구,yongsan_gu
본떡볶이,서울 성동구 용답동 159-1,37.565079,127.0509107,성동구,seongdong_gu
카페더수,서울 강남구 역삼동 702-23,37.50417,127.0464147,강남구,gangnam_gu
황토왕김치감자탕,서울 광진구 구의동 252-130,37.5383588,127.0848525,광진구,gwangjin_gu
수셰프치킨 구의점,서울 광진구 구의동 599-8,37.532905,127.0918869,광진구,gwangjin_gu
최배달떡순튀 구의점,서울 광진구 구의동 252-65,37.5395188,127.0844469,광진구,gwangjin_gu
화양양꼬치,서울 광진구 구의동 252-77,37.5387887,127.0847564,광진구,gwangjin_gu
호세야 구의점,서울 광진구 구의동 210-2,37.5404279,127.0919935,광진구,gwangjin_gu
